subject,trial,Condition,Age,pupil_max
7,3,Dense,YA,147.78
7,4,Dense,YA,82.9800000000005
7,5,Dense,YA,378.06
7,6,Dense,YA,244.56
7,7,Dense,YA,421.86
7,8,Dense,YA,192.56
7,9,Sparse,YA,498.08
7,10,Sparse,YA,83.0000000000006
7,11,Sparse,YA,74.64
7,12,Dense,YA,341.199999999999
7,13,Sparse,YA,146.22
7,14,Dense,YA,333.3
7,15,Sparse,YA,293.04
7,16,Dense,YA,258.039999999999
7,17,Dense,YA,99.4800000000001
7,18,Sparse,YA,252.48
7,19,Sparse,YA,125.48
7,20,Sparse,YA,237
7,21,Sparse,YA,315.180000000001
7,22,Dense,YA,483.04
7,23,Dense,YA,253.260000000001
7,24,Sparse,YA,208.119767441861
7,25,Dense,YA,81.1000000000004
7,26,Sparse,YA,50.5599999999999
7,27,Sparse,YA,163.24
7,28,Dense,YA,23.2799999999997
7,29,Sparse,YA,254.84
7,30,Dense,YA,274
7,31,Dense,YA,66.0600000000004
7,32,Sparse,YA,31.0400000000003
7,33,Dense,YA,238.76
7,34,Sparse,YA,561.14
7,35,Dense,YA,208.58
7,36,Sparse,YA,443.16
7,37,Sparse,YA,66.9339622641519
7,38,Dense,YA,28.0399999999998
7,39,Dense,YA,430.1
7,40,Dense,YA,8.73999999999987
7,41,Dense,YA,35.8999999999997
7,42,Sparse,YA,352.78
7,43,Dense,YA,299
7,44,Dense,YA,19.0199999999994
7,45,Sparse,YA,43.5000000000003
7,46,Sparse,YA,31.4599999999997
7,47,Sparse,YA,276.38
7,48,Dense,YA,55.2800000000009
7,49,Sparse,YA,432.440000000001
7,50,Dense,YA,625.78
7,51,Sparse,YA,26.4
7,52,Sparse,YA,583.3
7,53,Sparse,YA,63.8999999999996
7,54,Sparse,YA,315.08
7,55,Dense,YA,496.7
7,56,Sparse,YA,77.6600000000001
7,57,Sparse,YA,110.58
7,58,Dense,YA,15.7800000000002
7,59,Sparse,YA,196.539999999999
7,60,Sparse,YA,614.628503937008
7,61,Dense,YA,38.3210169491523
7,62,Dense,YA,231.38
7,63,Sparse,YA,272.22
7,64,Dense,YA,36.7567741935484
7,65,Sparse,YA,49.4199999999997
7,66,Sparse,YA,321.84
7,67,Sparse,YA,145.7
