id,place_etym,context,prev_sound,sound_etym,next_sound,letter,category,freqGO,freqLUB,loan,page,frequency,manner,lexeme,form,spelling,frequency_class
31402,laminal,_#,a,z,&,z,grammatical,4.05,2.84,no,400,-0.271974461123116,fricative,norbait,norbaiteza#z#,ConSpell,mid
31403,laminal,_V,e,z,a,z,content,4.05,2.84,no,400,-0.271974461123116,fricative,norbait,norbaite#z#az,ConSpell,mid
31404,apical,_C,u,s,t,s,content,0.01,4.25,yes,400,-1.76938002380436,fricative,ajustatu,Axu#s#tatu,ConSpell,low
31405,laminal,_V,o,z,i,c,content,1.84,4.25,yes,400,-0.468743665194043,fricative,negozio,nego#c#io,ConSpell,mid
31406,laminal,_C,u,z,k,z,content,0.37,4.96,no,400,-0.868795367840033,fricative,eguzki,Egu#z#quia,ConSpell,mid
31407,laminal,_V,a,tz,e,c,grammatical,22,2.84,no,400,0.150101720093423,affricate,atera,attera#c#ean,ConSpell,mid
31408,laminal,_V,e,z,i,s,content,23.95,7.09,no,400,0.171282743233728,fricative,ezin,E#s#in,InnSpell,mid
31409,apical,_C,n,s,t,s,content,0.01,2.84,yes,400,-1.76938002380436,fricative,instante,In#s#ttanttera,ConSpell,low
31410,laminal,_V,o,tz,e,z,content,2.09,4.96,no,400,-0.436969714086471,affricate,otz,o#z#ean,ConSpell,mid
31412,apical,_C,e,s,t,s,content,1.43,3.55,no,401,-0.531616709302952,fricative,estutu,E#s#ttutu,ConSpell,mid
31416,laminal,_#,u,z,&,z,grammatical,0.01,0.71,yes,401,-1.76938002380436,fricative,alkabuz,Alcabu#z#,ConSpell,low
31419,apical,_C,u,s,t,s,content,0.01,1.42,yes,401,-1.76938002380436,fricative,asustatu,Asu#s#ttattu,ConSpell,low
31420,apical,_V,a,s,u,s,content,0.01,1.42,yes,401,-1.76938002380436,fricative,asustatu,A#s#usttattu,ConSpell,low
31422,laminal,_V,a,tz,a,z,content,0.22,5.67,no,401,-0.998455435715253,affricate,beatz,bea#z#a,ConSpell,mid
31424,laminal,#_,&,z,u,z,content,5.42,3.55,no,402,-0.199302801539619,fricative,zuri,#z#urian,ConSpell,mid
31427,apical,_C,e,s,p,s,content,0.01,2.13,yes,402,-1.76938002380436,fricative,espalda,e#s#paldac,ConSpell,low
31428,laminal,_V,a,tz,e,z,content,8.79,4.25,no,402,-0.078710279260801,affricate,atze,a#z#era,ConSpell,mid
31430,laminal,_#,a,z,&,z,grammatical,0.01,0.71,yes,402,-1.76938002380436,fricative,honra,onrra#z#,ConSpell,low
31431,apical,_C,e,s,p,s,content,0.03,6.38,yes,402,-1.49537950815602,fricative,espazio,e#s#pacioarequin,ConSpell,low
31432,laminal,_V,a,z,i,c,content,0.03,6.38,yes,402,-1.49537950815602,fricative,espazio,espa#c#ioarequin,ConSpell,low
31435,apical,_V,e,s,a,z,content,164.23,52.47,no,402,0.651464039031931,fricative,esan,E#z#an,InnSpell,high
31436,laminal,_V,e,z,a,z,grammatical,805,166.62,no,402,1.04791345786226,fricative,ezan,ve#z#a,ConSpell,high
31437,laminal,_#,i,z,&,z,grammatical,8.92,1.42,no,402,-0.0750486909342993,fricative,berriz,berri#z#,ConSpell,mid
31438,laminal,_V,a,z,i,c,content,0.03,6.38,yes,403,-1.49537950815602,fricative,obligazio,obliga#c#ioarequin,ConSpell,low
31439,apical,_C,a,s,t,s,content,0.01,2.13,yes,403,-1.76938002380436,fricative,kastigatu,Ca#s#tigatu,ConSpell,low
31441,laminal,_#,n,tz,&,z,grammatical,8.79,4.25,no,403,-0.078710279260801,affricate,atze,azeron#z#,ConSpell,mid
31442,laminal,_V,a,tz,e,z,content,8.79,4.25,no,403,-0.078710279260801,affricate,atze,a#z#eronz,ConSpell,mid
31444,laminal,_V,e,z,a,s,content,7.94,80.12,no,403,-0.104075229492683,fricative,ezagutu,E#s#agutu,InnSpell,mid
31445,laminal,_V,i,tz,a,z,content,4.44,11.34,no,403,-0.249044696558772,affricate,bizitza,Vizi#z#aren,ConSpell,mid
31446,laminal,_V,i,z,i,z,content,4.44,11.34,no,403,-0.249044696558772,fricative,bizitza,Vi#z#izaren,ConSpell,mid
